"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
18040;"IMOEX";3219.49;3224.18;3241.55;3185.84;71864096635.45;0.0;2023-10-27 00:00:00.000;2023-10-27 23:59:59.000
18041;"IMOEX";3232.82;3227.07;3246.0;3219.7;46028692095.7;0.0;2023-10-30 00:00:00.000;2023-10-30 23:59:59.000
18042;"IMOEX";3221.08;3200.97;3226.88;3176.53;51194409596.6;0.0;2023-10-31 00:00:00.000;2023-10-31 23:59:59.000
18043;"IMOEX";3192.96;3206.52;3214.83;3191.34;34173972609.55;0.0;2023-11-01 00:00:00.000;2023-11-01 23:59:59.000
18044;"IMOEX";3216.92;3197.22;3228.46;3197.22;44725565876.95;0.0;2023-11-02 00:00:00.000;2023-11-02 23:59:59.000
18045;"IMOEX";3207.04;3208.63;3212.81;3182.17;45527115236;0.0;2023-11-03 00:00:00.000;2023-11-03 23:59:59.000
18046;"IMOEX";3207.47;3235.11;3237.09;3207.1;34621931434.3;0.0;2023-11-06 00:00:00.000;2023-11-06 23:59:59.000
18047;"IMOEX";3239.98;3246.34;3246.65;3228.46;43761541279.6;0.0;2023-11-07 00:00:00.000;2023-11-07 23:59:59.000
18048;"IMOEX";3238.81;3245.43;3257.32;3233.11;51717129125.9;0.0;2023-11-08 00:00:00.000;2023-11-08 23:59:59.000
18049;"IMOEX";3241.5;3239.92;3245.11;3222.34;41676218574.1;0.0;2023-11-09 00:00:00.000;2023-11-09 23:59:59.000
18050;"IMOEX";3236.03;3242.06;3246.31;3229.1;45648433667.5;0.0;2023-11-10 00:00:00.000;2023-11-10 23:59:59.000
18051;"IMOEX";3241.31;3248.27;3251.74;3235.06;46210068912.2;0.0;2023-11-13 00:00:00.000;2023-11-13 23:59:59.000
18052;"IMOEX";3236.48;3212.39;3236.48;3192.32;60536270231.15;0.0;2023-11-14 00:00:00.000;2023-11-14 23:59:59.000
18053;"IMOEX";3195.43;3215.11;3221.22;3182.78;51510619170.35;0.0;2023-11-15 00:00:00.000;2023-11-15 23:59:59.000
18054;"IMOEX";3209.33;3189.08;3215.93;3184.97;38042327235.65;0.0;2023-11-16 00:00:00.000;2023-11-16 23:59:59.000
18055;"IMOEX";3172.78;3206.34;3208.17;3151.95;48876695171.45;0.0;2023-11-17 00:00:00.000;2023-11-17 23:59:59.000
18056;"IMOEX";3205.73;3207.36;3216.73;3194.4;39389218372.35;0.0;2023-11-20 00:00:00.000;2023-11-20 23:59:59.000
18057;"IMOEX";3198.73;3218.48;3219.11;3193.46;43450662035.45;0.0;2023-11-21 00:00:00.000;2023-11-21 23:59:59.000
18058;"IMOEX";3221.9;3230.65;3239.17;3220.37;54706914415.9;0.0;2023-11-22 00:00:00.000;2023-11-22 23:59:59.000
18059;"IMOEX";3233.09;3221.05;3238.81;3218.72;38576759503.2;0.0;2023-11-23 00:00:00.000;2023-11-23 23:59:59.000
18060;"IMOEX";3223.75;3217.76;3231.77;3203.62;48043285163.85;0.0;2023-11-24 00:00:00.000;2023-11-24 23:59:59.000
18061;"IMOEX";3220.25;3191.05;3224.61;3178.2;71973813282.4;0.0;2023-11-27 00:00:00.000;2023-11-27 23:59:59.000
18062;"IMOEX";3189.16;3196.36;3197.61;3157.55;54632481094;0.0;2023-11-28 00:00:00.000;2023-11-28 23:59:59.000
18063;"IMOEX";3196.75;3173.52;3200.33;3173.37;45015233407.45;0.0;2023-11-29 00:00:00.000;2023-11-29 23:59:59.000
18064;"IMOEX";3176.5;3165.79;3176.53;3146.53;50537955023.75;0.0;2023-11-30 00:00:00.000;2023-11-30 23:59:59.000
18065;"IMOEX";3155.87;3142.29;3162.97;3136.56;40584354460.75;0.0;2023-12-01 00:00:00.000;2023-12-01 23:59:59.000
18066;"IMOEX";3123.18;3114.41;3126.55;3096.28;49061478048.15;0.0;2023-12-04 00:00:00.000;2023-12-04 23:59:59.000
18067;"IMOEX";3102.3;3129.33;3134.57;3090.31;42213609509.25;0.0;2023-12-05 00:00:00.000;2023-12-05 23:59:59.000
18068;"IMOEX";3139.89;3079.5;3146.52;3077.94;59384099103.9;0.0;2023-12-06 00:00:00.000;2023-12-06 23:59:59.000
18069;"IMOEX";3065.93;3073.63;3084.5;3041.11;60418731501.35;0.0;2023-12-07 00:00:00.000;2023-12-07 23:59:59.000
18070;"IMOEX";3079.88;3079.99;3100.22;3067.46;34691761303.6;0.0;2023-12-08 00:00:00.000;2023-12-08 23:59:59.000
18071;"IMOEX";3081.88;3026.17;3082.3;3025.74;69692755380.7;0.0;2023-12-11 00:00:00.000;2023-12-11 23:59:59.000
18072;"IMOEX";3020.61;3019.89;3046.81;2992.5;61976749445.1;0.0;2023-12-12 00:00:00.000;2023-12-12 23:59:59.000
18073;"IMOEX";3011.99;3032.22;3043.42;3002.38;33872208220.5;0.0;2023-12-13 00:00:00.000;2023-12-13 23:59:59.000
18074;"IMOEX";3046.43;3008.84;3057.08;3005.94;38101096671.2;0.0;2023-12-14 00:00:00.000;2023-12-14 23:59:59.000
